offset,media_type,title,artist,album,year
00:00:00.000,id,Disclaimers,ACB Media,Disclaimers,
00:00:14.000,id,Time for Karaoke,ACB Community,Intros,2025
00:02:58.000,music,Hellfire - Joseph Fochs,The Hunchback of Notre Dame (: Alan Menken; : Stephen Schwartz),Backing Track,
00:05:53.335,music,Somewhere Over the Rainbow - Connie Bateman,The Wizard of Oz (: Harold Arlen; : E.Y. Harburg),Backing Track,
00:08:44.073,music,Something to Shout About - Lisa Brooks,BOOP! The al (: David Foster; : Susan Birkenhead),Backing Track,
00:12:13.432,music,Small World - Judy Wolgang and Herbie Allen,Gypsy (: Jule Styne; : Stephen Sondheim),Backing Track,
00:16:07.793,music,Puppet On a String - Lucy Arguijo,Girl Happy (Film) (Writers: Roy C. Bennett & Sid Tepper),Backing Track,
00:19:33.000,music,Kansas City - Todd Freitas,Oklahoma! (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
00:22:34.137,music,I Feel Pretty - Jamaica Miller and Singing Circle,West Side Story (: Leonard Bernstein; : Stephen Sondheim),Live Performance,
00:24:16.234,music,Memory - Abbie Taylor,Cats (: Andrew Lloyd Webber; : T.S. Eliot),Backing Track,
00:28:55.042,music,Beauty and the Beast - Alison Smitherman,Beauty and the Beast (: Alan Menken; : Howard Ashman/Tim Rice),Backing Track,
00:32:12.582,music,Till There was You - Jim Pasquale,The Man ( & : Meredith Willson),Backing Track,
00:35:28.251,music,When You're Good to Mama - Cindy Hollis,Chicago (Film) (: John Kander; : Fred Ebb),Backing Track,
00:39:23.131,music,They Say It's Wonderful - Kishia Mason,Annie Get Your Gun ( & : Irving Berlin),Backing Track,
00:43:01.315,music,Hosanna - Megan Homrighausen,Jesus Christ Superstar (: Andrew Lloyd Webber; : Tim Rice),Backing Track,
00:46:32.315,music,Anatevka - Michael Byington,Fiddler on the Roof (: Jerry Bock; : Sheldon Harnick),Backing Track,
00:50:49.936,music,On My Own - Holly Anderson,Les Misérables (: Claude-Michel Schönberg; : Alain Boublil & Herbert Kretzmer),Backing Track,
00:55:20.626,music,Out of My Dreams - Lynne Koral,Oklahoma! (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
00:59:24.241,music,Close Every Door - Herbie Allen,Joseph and the Amazing Technicolor Dreamcoat (: Andrew Lloyd Webber; : Tim Rice),Backing Track,
01:03:51.551,music,I'm Gonna Wash That Man Right Out of My Hair - Nora Thielking,South Pacific (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
01:08:27.441,music,Young Lovers - Jeanette Kutash,The King and I (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
01:12:03.529,music,Wild In the Country - Nancy Herb,"Wild in the Country (Film) (Writers: Hugo Peretti, Luigi Creatore & George Weiss)",Backing Track,
01:14:43.673,music,Confrontation - Tristan Snyder,Jekyll & Hyde (: Frank Wildhorn; : Leslie Bricusse),Backing Track,
01:19:38.673,music,Burn - Nicki Keck,Hamilton ( & : Lin-Manuel Miranda),Backing Track,
01:23:58.919,music,For Good - Kristeen Hughes,Wicked ( & : Stephen Schwartz),Backing Track,
01:28:55.698,music,Got a Lot of Living to Do - Cathy Herb,Loving You (Film) (Writers: Aaron Schroeder & Ben Weisman),Backing Track,
01:31:56.879,music,Never Enough - Anthony Corona,The Greatest Showman (Songs: Benj Pasek & Justin Paul),Backing Track,
01:35:50.400,music,Any Dream Will Do - Lucy Edmonds,Joseph and the Amazing Technicolor Dreamcoat (: Andrew Lloyd Webber; : Tim Rice),Backing Track,
01:42:10.000,music,I Cain't Do That - Bel Collins,Oklahoma! (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
01:44:10.000,music,Can You Feel the Love Tonight - Ron Brooks,The Lion King (Songs: Elton John & Tim Rice),Backing Track,
01:49:11.700,music,Climb Every Mountain - Monica Svopa,The Sound of (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
01:52:00.000,music,What Does He Want of Me - Gudrun Brunot,Man of La Mancha (: Mitch Leigh; : Joe Darion),Backing Track,
01:55:12.000,music,I'm a Believer - JC Alicea,Shrek the al (: Jeanine Tesori; : David Lindsay-Abaire),Backing Track,
01:58:33.000,music,Something Good - Rachel Koeberecki,The Sound of (: Richard Rodgers; : Oscar Hammerstein II),Backing Track,
02:02:26.023,music,Summertime - Rhonda Selby,Porgy and Bess (: George Gershwin; : Ira Gershwin & DuBose Heyward),Backing Track,
02:05:28.000,music,Make Someone Happy - Tim Cumings,Do Re Mi (: Jule Styne; : Betty Comden & Adolph Green),Backing Track,
02:07:57.900,music,Tomorrow - Rhonda Lang,Annie (: Charles Strouse; : Martin Charnin),Backing Track,
02:10:57.000,music,I Know Him So Well - RaLynn McGuire and Lucy Arguijo,Chess (: Benny Andersson & Bjorn Ulvaeus; : Tim Rice),Backing Track,
02:15:46.000,music,Breathe - Nicole Gleason,In the Heights ( & : Lin-Manuel Miranda),Backing Track,
02:20:28.000,music,Do Not Disturb - Travis Butler,"Girl Happy (Film) (Writers: Bernie Baum, Bill Giant & Florence Kaye)",Backing Track,
02:22:49.000,music,Pharaoh's Story - Natalie Couch,Joseph and the Amazing Technicolor Dreamcoat (: Andrew Lloyd Webber; : Tim Rice),Backing Track,
02:26:27.000,music,With You - Judy Wolgang,Pippin ( & : Stephen Schwartz),Backing Track,